"id";"value";"category_id"
0;"-";0
3001;"PORTAFILTROS";3
7004;"MALETAS";7
2003;"ACCESORIOS";2
2999;"SIN-CLASIFICAR";2
1005;"VIDEO";1
5999;"SIN-CLASIFICAR";5
3008;"OTRO-FILTRO";3
1008;"ACCESORIOS-DRONES";1
5003;"MODIFICADORES-DIFUSORES";5
6001;"MICROFONOS";6
6002;"ACCESORIOS";6
6003;"AUDIFONOS";6
6004;"CONTROLADORAS";6
6999;"SIN-CLASIFICAR";6
7999;"SIN-CLASIFICAR";7
999003;"ENERGIA";999
999001;"LIMPIEZA";999
999004;"DISPARADORES-TEMPORIZADOR";999
999005;"PROTECTORES";999
999006;"MONITORES";999
999007;"OCULARES-TAPAS-PARASOLES";999
999008;"CABLES";999
999009;"GRIPS";999
999999;"SIN-CLASIFICAR";999
4002;"VIDEO";4
4006;"ESTABILIZADORES";4
1006;"INSTANTANEAS-POLAOID";1
999002;"ALMACENAMIENTO";999
5001;"FLASH";5
5004;"ACCESORIOS";5
4003;"FLASH";4
1007;"DRONES";1
5002;"TRIGGERS";5
3006;"GND";3
1004;"COMPACTAS-LENTEFIJO";1
4999;"SIN-CLASIFICAR";4
3999;"SIN-CLASIFICAR";3
5005;"LUZ-CONTINUA";5
3002;"ADAPTADORES";3
3009;"KIT-FILTROS";3
3004;"CPL";3
7003;"CORREAS";7
3010;"DRONES";3
4001;"FOTOGRAFIA";4
1002;"MIRRORLESS";1
4004;"CABEZALES";4
2001;"OPTICA";2
1999;"SIN-CLASIFICAR";1
7002;"BOLSOS";7
3003;"UV";3
2002;"ADAPTADORES-TUBOS-EXTENSION";2
3005;"ND";3
1003;"DEPORTIVAS-ACCION";1
4005;"ACCESORIOS";4
7001;"MOCHILAS";7
3007;"SOLAR";3
1001;"REFLEX-DSLR";1
