"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
68503;702769;"2021-06-16 05";6720;7099;1
68504;1239990;"2021-06-16 05";6720;7099;1
68505;837389;"2021-06-16 05";6721;7100;1
68397;1259990;"2021-06-15 18";7697;8395;1
68880;999990;"2021-06-19 03";2762;5592;1
68881;734990;"2021-06-19 03";2765;5590;1
68506;1129990;"2021-06-16 05";6721;7100;1
68507;1907989;"2021-06-16 05";6722;7101;1
68508;2799990;"2021-06-16 05";6722;7101;1
68509;1642989;"2021-06-16 05";6723;4148;1
68510;1599990;"2021-06-16 05";6723;4148;1
68511;503489;"2021-06-16 05";6724;7102;1
68512;709990;"2021-06-16 05";6724;7102;1
68513;1399189;"2021-06-16 05";6733;7111;1
68514;1389990;"2021-06-16 05";6733;7111;1
71421;599990;"2021-06-22 12";6073;6337;1
69861;1898990;"2021-06-21 00";5440;5555;1
68882;367990;"2021-06-19 03";2768;2537;1
69862;1599990;"2021-06-21 00";3868;7130;1
69013;794989;"2021-06-20 10";2871;7207;1
69014;899990;"2021-06-20 10";2871;7207;1
71894;1473400;"2021-06-24 07";5266;5381;1
68950;1449990;"2021-06-19 19";7684;8382;1
72616;42400;"2021-06-27 09";2900;3011;1
71645;836907;"2021-06-23 12";1645;1596;1
71806;449900;"2021-06-23 23";2843;2951;1
72020;1949900;"2021-06-24 17";4179;4282;1
72156;2224940;"2021-06-25 03";6591;6956;1
71343;370989;"2021-06-22 01";5664;5834;1
71344;399990;"2021-06-22 01";5664;5834;1
71345;1409789;"2021-06-22 01";6864;7247;1
71346;1639990;"2021-06-22 01";6864;7247;1
71347;1409789;"2021-06-22 01";7110;7582;1
66138;549989;"2021-06-24 18";5173;5279;1
66306;799900;"2021-06-24 20";1907;2036;1
61142;609990;"2021-06-24 20";6924;7308;1
61928;79990;"2021-06-24 20";6490;6843;1
37581;359900;"2021-06-27 12";5864;6101;1
58371;2399990;"2021-06-27 12";711;765;1
65169;84900;"2021-06-27 17";1680;1808;1
66305;899900;"2021-06-27 08";1887;2016;1
68747;1599900;"2021-06-27 18";1645;5654;1
66136;499989;"2021-06-27 19";5171;5277;1
66137;499989;"2021-06-27 19";5172;5278;1
71538;8990;"2021-06-23 08";8367;9363;1
66755;71990;"2021-06-20 04";2060;2191;1
68202;3349990;"2021-06-20 23";6229;6530;1
66921;19990;"2021-06-22 21";7356;8035;1
67101;359990;"2021-06-22 21";7366;8045;1
50698;319900;"2021-06-22 22";2041;2172;1
66870;5253;"2021-06-22 22";7305;7984;1
66884;5253;"2021-06-22 22";7319;7998;1
67094;99990;"2021-06-22 22";7359;8038;1
67095;12990;"2021-06-22 22";7360;8039;1
67097;12990;"2021-06-22 22";7362;8041;1
67098;79990;"2021-06-22 22";7363;8042;1
67099;89990;"2021-06-22 22";7364;8043;1
67100;281900;"2021-06-22 22";7365;8044;1
67102;59990;"2021-06-22 22";7367;8046;1
67103;59990;"2021-06-22 22";7368;8047;1
67105;19990;"2021-06-22 22";7370;8049;1
67106;19990;"2021-06-22 22";7371;8050;1
67107;6990;"2021-06-22 22";7372;8051;1
67109;179990;"2021-06-22 22";7374;8053;1
67110;69900;"2021-06-22 22";7375;8054;1
50742;275990;"2021-06-22 22";6177;6453;1
67112;52990;"2021-06-22 22";7377;8056;1
51034;89990;"2021-06-22 22";6275;6580;1
51051;44990;"2021-06-22 22";6274;6579;1
51033;172990;"2021-06-22 22";6273;6578;1
67113;84990;"2021-06-22 22";7378;8057;1
68398;1293200;"2021-06-15 18";6562;6926;1
68296;1473400;"2021-06-15 06";5266;5381;1
68297;1749900;"2021-06-15 06";5266;5381;1
68399;1299989;"2021-06-15 18";6562;6926;1
68515;1293200;"2021-06-16 05";6562;6926;1
68516;1299989;"2021-06-16 05";6562;6926;1
71348;1547160;"2021-06-22 01";7110;7582;1
71646;743907;"2021-06-23 12";1645;1597;1
68951;370989;"2021-06-19 20";5664;5834;1
68952;399990;"2021-06-19 20";5664;5834;1
68953;1409789;"2021-06-19 20";6864;7247;1
68954;1639990;"2021-06-19 20";6864;7247;1
68955;1409789;"2021-06-19 21";7110;7582;1
68956;1547160;"2021-06-19 21";7110;7582;1
68957;1695989;"2021-06-19 21";5674;5844;1
68958;2019990;"2021-06-19 21";5674;5844;1
68959;1430989;"2021-06-19 21";3932;4027;1
68960;1839990;"2021-06-19 21";3932;4027;1
68961;2278989;"2021-06-19 21";3934;4029;1
68962;2579990;"2021-06-19 21";3934;4029;1
68963;2893789;"2021-06-19 21";4892;5001;1
68964;2969990;"2021-06-19 21";4892;5001;1
68965;333889;"2021-06-19 21";6865;7248;1
68966;329991;"2021-06-19 21";6865;7248;1
69863;2399990;"2021-06-21 00";6080;6344;1
69864;56990;"2021-06-21 00";4774;4887;2
69865;94990;"2021-06-21 00";4776;4889;2
71422;399990;"2021-06-22 12";6074;6338;1
71807;794989;"2021-06-23 23";2871;7207;1
71895;1749900;"2021-06-24 07";5266;5381;1
72157;2370000;"2021-06-25 03";6591;6956;1
68883;794894;"2021-06-19 04";2754;7038;1
68884;889990;"2021-06-19 04";2754;7038;1
68205;877669;"2021-06-16 00";2763;5588;1
68208;1446889;"2021-06-16 00";2771;5593;1
68209;877669;"2021-06-16 00";2774;5589;1
67280;54990;"2021-06-22 16";7476;8158;1
50731;218900;"2021-06-22 16";2488;2611;1
67191;189900;"2021-06-22 16";2643;2771;1
67300;39990;"2021-06-22 16";7496;8178;1
50871;3990;"2021-06-22 16";1689;1817;1
50704;143900;"2021-06-22 16";2031;2162;1
67510;1059900;"2021-06-13 20";1645;2217;1
67511;1099990;"2021-06-13 20";5513;5657;1
67129;10990;"2021-06-22 22";7393;8073;1
67131;17990;"2021-06-22 22";7395;8075;1
67132;12990;"2021-06-22 22";7396;8076;1
67133;19990;"2021-06-22 22";7397;8077;1
67139;12990;"2021-06-22 22";7403;8084;1
67141;480990;"2021-06-22 22";7405;8086;1
67142;35990;"2021-06-22 22";7406;8087;1
67143;29990;"2021-06-22 22";7407;8088;1
61745;105990;"2021-06-13 23";734;791;1
67144;19990;"2021-06-22 22";7408;8089;1
67145;31990;"2021-06-22 22";7409;8090;1
67146;19990;"2021-06-22 22";7410;8091;1
67147;19990;"2021-06-22 22";7411;8092;1
67149;254990;"2021-06-22 22";7413;8094;1
67151;124990;"2021-06-22 22";7415;8096;1
67152;84990;"2021-06-22 22";7416;8097;1
68203;953989;"2021-06-15 15";6095;5591;1
68204;1059989;"2021-06-15 15";2762;5592;1
68206;779089;"2021-06-15 15";2765;5590;1
68207;390069;"2021-06-15 15";2768;2537;1
67158;5990;"2021-06-22 22";7422;8103;1
